commence_time,bookmaker,last_update,home_team,away_team,market,description,point,Over Price,Under Price,Over %,Under %,No-Vig Over %,No-Vig Under %,True Point,Average Line,Average Over %,Average Under %,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Projection,Projection vs Point,% Edge,Correlates,Max No-Vig Diff,Adjusted % Edge,Prop Type,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,Bookmaker Logo
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,Cade Cunningham,8.5,-117,-112,53.92,52.83,50.51,49.49,8.5,8.5,53.6,54.25,49.69,50.31,-4.23,50.31,Under,8.5,0,50,No,-2.52,50.31,Standard,https://dkn.gs/sports/images/nba/players/50/590962.png,5/17/2026,Yes,-4.40,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-101,-101,5/17/2026,8.4473,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,James Harden,6.5,-110,-120,52.38,54.55,48.99,51.01,6.5,6.5,49.77,56.72,46.74,53.26,-1.29,53.26,Under,6.5,0,50,No,-1.29,53.26,Standard,https://dkn.gs/sports/images/nba/players/50/33070.png,5/17/2026,No,4.40,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-114,-114,5/17/2026,6.0762,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,Evan Mobley,3.5,-125,-105,55.56,51.22,52.03,47.97,3.5,3.5,55.31,52.17,51.48,48.52,-4.08,51.48,Over,3.5,0,50,No,-4.08,51.48,Standard,https://dkn.gs/sports/images/nba/players/50/590986.png,5/17/2026,No,4.40,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-106,-106,5/17/2026,3.6036,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,Donovan Mitchell,3.5,-105,-125,51.22,55.56,47.97,52.03,3.5,3.5,52.81,54.82,49.06,50.94,-4.62,50.94,Under,3.5,0,50,No,-4.62,50.94,Standard,https://dkn.gs/sports/images/nba/players/50/33398.png,5/17/2026,No,4.40,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-104,-104,5/17/2026,3.4342,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,Ausar Thompson,3.5,114,-150,46.73,60,43.78,56.22,3.5,3.5,44.27,62.39,41.5,58.5,-1.5,58.5,Under,3.5,0,50,No,-1.50,58.5,Standard,https://dkn.gs/sports/images/nba/players/50/713758.png,5/17/2026,Yes,-4.4,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-141,-141,5/17/2026,2.905,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,Daniss Jenkins,3.5,122,-161,45.05,61.69,42.2,57.8,3.5,3.5,45.97,60.57,43.14,56.86,-4.83,56.86,Under,3.5,0,50,No,-4.83,56.86,Standard,https://dkn.gs/sports/images/nba/players/50/800802.png,5/17/2026,Yes,-4.4,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-132,-132,5/17/2026,3.0198,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,Dennis Schroder,2.5,113,-149,46.95,59.84,43.96,56.04,2.5,2.5,47.89,58.46,45.03,54.97,-4.87,54.97,Under,2.5,0,50,No,-4.87,54.97,Standard,https://dkn.gs/sports/images/nba/players/50/33251.png,5/17/2026,No,4.4,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-122,-122,5/17/2026,2.2515,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,Tobias Harris,1.5,-170,129,62.96,43.67,59.05,40.95,1.5,1.9,54.39,52.57,50.84,49.16,-12.12,50.84,Over,1.9,0.4,50,Yes,-18.21,44.75,Standard,https://dkn.gs/sports/images/nba/players/50/33286.png,5/17/2026,Yes,-4.4,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-103,-81,5/17/2026,1.9319,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,Max Strus,1.5,-153,116,60.47,46.3,56.64,43.36,1.5,1.5,58.44,47.83,54.98,45.02,-5.49,54.98,Over,1.5,0,50,No,-5.49,54.98,Standard,https://dkn.gs/sports/images/nba/players/50/32893.png,5/17/2026,No,4.4,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-122,-122,5/17/2026,1.6494,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
2026-05-18T00:10:00Z,draftkings,2026-05-17T21:02:57Z,Detroit Pistons,Cleveland Cavaliers,player_assists,Jalen Duren,1.5,-147,112,59.51,47.17,55.79,44.21,1.5,1.5,58.39,47.84,54.96,45.04,-4.55,54.96,Over,1.5,0,50,No,-4.55,54.96,Standard,https://dkn.gs/sports/images/nba/players/50/649562.png,5/17/2026,Yes,-4.4,205.4,Cavaliers @ Pistons,2026-05-18T00:00:00Z,Sun 08:00pm,N/A,N/A,Amazon Prime Video,-122,-122,5/17/2026,1.6488,https://img.favpng.com/19/20/10/logo-clip-art-brand-draftkings-font-png-favpng-R2eJSXBaGUrVGy3sJKrTGB1H3.jpg
